Policy Number,Policy Effective Date,Policy Expiration Date,Agency ID,Underwriting Company ID,Cancel Date
1004811,2012-01-26,2013-01-26,11,2,
1004812,2012-01-18,2012-07-20,2,6,
1004813,2013-06-27,2013-12-27,13,7,
1004814,2013-01-12,2014-01-12,14,2,
1004815,2011-06-09,2012-06-09,19,5,
1004816,2012-06-24,2012-12-25,8,1,
1004817,2012-01-16,2013-01-15,14,7,
1004818,2011-02-25,2011-08-28,16,4,
1004819,2013-04-26,2013-10-27,8,7,
1004820,2013-09-16,2014-03-18,5,5,
1004821,2011-12-07,2012-06-06,8,6,
1004822,2012-09-06,2013-03-09,18,3,
1004823,2013-06-09,2013-12-08,18,3,
1004824,2012-07-31,2013-07-31,20,7,
1004825,2012-07-22,2013-01-19,15,5,
1004826,2012-06-17,2012-12-18,12,1,
1004827,2013-11-14,2014-11-14,15,3,2014-08-13
1004828,2013-08-14,2014-02-12,10,3,
1004829,2014-04-01,2014-09-30,7,1,
1004830,2013-06-21,2013-12-22,8,2,
1004831,2012-09-12,2013-03-14,15,7,
1004832,2011-09-07,2012-03-07,5,2,
1004833,2011-09-27,2012-09-27,10,5,
1004834,2012-06-06,2013-06-06,7,7,
1004835,2011-08-07,2012-08-07,2,3,
1004836,2013-08-06,2014-02-03,3,1,
1004837,2013-03-22,2014-03-22,16,5,
1004838,2010-09-03,2011-09-03,6,7,2011-05-17
1004839,2011-03-09,2012-03-09,3,6,2011-10-04
1004840,2013-03-19,2014-03-19,8,6,
1004841,2011-11-23,2012-11-23,19,6,
1004842,2013-04-24,2013-10-25,7,6,2013-08-07
1004843,2012-08-11,2013-02-10,14,6,
1004844,2012-11-11,2013-05-11,5,6,
1004845,2011-10-29,2012-10-29,20,4,
1004846,2013-04-14,2014-04-14,11,6,
1004847,2012-06-28,2013-06-29,20,6,
1004848,2011-04-08,2012-04-08,14,4,
1004849,2012-11-16,2013-05-18,14,4,
1004850,2011-04-15,2011-10-16,11,3,
1004851,2013-12-17,2014-12-17,19,3,
1004852,2013-01-25,2013-07-27,20,6,2013-06-05
1004853,2011-03-05,2012-03-05,8,2,
1004854,2012-03-09,2012-09-09,3,5,
1004855,2013-01-19,2014-01-19,14,1,
1004856,2011-02-01,2011-08-04,10,4,
1004857,2013-11-01,2014-05-03,8,4,2014-02-03
1004858,2012-08-20,2013-02-20,2,1,
1004859,2011-12-10,2012-12-10,15,7,
1004860,2011-02-22,2012-02-23,6,1,
1004861,2013-07-28,2014-07-28,3,3,
1004862,2011-04-16,2011-10-17,12,5,
1004863,2012-09-29,2013-09-29,14,3,2013-04-03
1004864,2012-06-03,2013-06-04,2,5,
1004865,2011-01-09,2011-07-09,9,3,
1004866,2013-05-10,2013-11-08,19,5,
1004867,2013-06-02,2013-12-03,5,5,
1004868,2013-04-03,2014-04-03,13,3,
1004869,2011-03-14,2011-09-14,15,7,
1004870,2013-06-29,2014-06-29,4,6,
1004871,2012-11-04,2013-05-07,6,4,
1004872,2011-09-05,2012-03-05,9,1,
1004873,2013-01-28,2014-01-28,5,4,
1004874,2013-12-08,2014-06-08,5,3,
1004875,2012-06-13,2013-06-13,9,6,
1004876,2011-01-31,2012-02-01,1,2,
1004877,2012-11-17,2013-11-17,9,5,2013-07-23
1004878,2011-04-27,2012-04-27,14,2,
1004879,2012-06-26,2012-12-24,5,5,
1004880,2011-11-27,2012-05-27,9,7,
1004881,2013-07-28,2014-01-28,16,7,
1004882,2012-11-22,2013-05-23,15,2,
1004883,2013-11-04,2014-11-04,9,7,
1004884,2011-12-19,2012-12-19,12,4,2012-06-24
1004885,2012-11-12,2013-11-12,6,5,
1004886,2011-02-15,2011-08-17,7,5,
1004887,2012-01-15,2013-01-15,3,6,
1004888,2011-07-12,2012-01-11,18,7,
1004889,2012-08-22,2013-02-20,7,6,
1004890,2013-03-09,2014-03-09,3,4,
1004891,2012-03-04,2012-09-03,11,2,
1004892,2011-08-08,2012-02-08,1,3,2011-11-23
1004893,2011-05-10,2011-11-09,11,1,
1004894,2011-10-20,2012-10-20,7,6,
1004895,2012-05-11,2012-11-11,5,4,
1004896,2012-12-02,2013-12-02,8,1,
1004897,2010-09-03,2011-03-03,14,4,
1004898,2013-08-15,2014-08-15,6,3,
1004899,2012-07-12,2013-01-09,7,5,
1004900,2014-02-20,2015-02-20,5,3,
1004901,2012-01-19,2013-01-19,16,6,
1004902,2011-10-18,2012-04-18,17,2,
1004903,2012-08-21,2013-08-21,1,2,
1004904,2012-12-13,2013-06-14,6,1,
1004905,2012-08-14,2013-08-14,3,7,
1004906,2014-03-28,2015-03-28,9,4,
1004907,2012-05-23,2012-11-22,11,5,
1004908,2010-12-07,2011-12-08,4,4,
1004909,2012-12-18,2013-06-19,8,6,
1004910,2013-03-08,2013-09-05,12,4,
1004911,2012-04-30,2013-04-30,2,4,
1004912,2012-11-30,2013-11-30,12,2,
1004913,2012-05-19,2013-05-20,2,1,
1004914,2011-05-18,2012-05-18,2,1,
1004915,2013-08-23,2014-08-23,1,6,
1004916,2010-11-12,2011-11-12,17,7,
1004917,2013-01-06,2013-07-08,4,2,
1004918,2013-09-18,2014-09-18,1,2,
1004919,2011-03-11,2012-03-11,13,2,2011-12-01
1004920,2011-11-22,2012-11-22,16,1,
1004921,2011-08-25,2012-08-25,13,1,
1004922,2012-11-29,2013-11-29,4,1,
1004923,2013-04-04,2013-10-04,5,6,
1004924,2012-03-14,2012-09-13,19,3,
1004925,2011-03-29,2012-03-29,9,3,
1004926,2011-06-06,2011-12-07,14,2,
1004927,2012-08-03,2013-02-03,14,3,
1004928,2014-04-21,2015-04-21,1,1,
1004929,2012-07-13,2013-01-11,16,6,
1004930,2013-06-07,2014-06-07,10,4,
1004931,2012-04-12,2013-04-12,15,1,
1004932,2011-05-29,2012-05-29,15,7,
1004933,2011-09-01,2012-03-01,10,2,
1004934,2011-07-22,2012-01-22,20,2,
1004935,2011-04-25,2011-10-25,8,6,
1004936,2013-06-03,2013-12-01,4,6,
1004937,2013-12-08,2014-06-08,5,5,
1004938,2011-09-09,2012-09-09,5,7,
1004939,2013-06-19,2014-06-19,3,4,
1004940,2013-01-25,2014-01-25,14,1,
1004941,2011-05-21,2012-05-21,19,1,
1004942,2013-09-09,2014-09-09,7,5,2014-03-28
1004943,2011-12-14,2012-06-15,17,3,
1004944,2011-05-03,2011-11-02,14,2,
1004945,2011-08-15,2012-08-15,7,6,
1004946,2012-03-04,2012-09-04,19,5,
1004947,2011-11-17,2012-11-17,2,7,
1004948,2012-02-17,2013-02-16,9,1,
1004949,2012-11-07,2013-05-10,14,3,
1004950,2011-04-05,2012-04-05,3,1,
1004951,2013-10-12,2014-10-12,10,4,
1004952,2011-06-18,2011-12-19,12,7,
1004953,2013-03-06,2014-03-06,7,3,
1004954,2012-03-06,2013-03-06,7,4,
1004955,2011-07-02,2011-12-31,15,4,
1004956,2012-09-08,2013-09-08,13,5,
1004957,2012-05-21,2013-05-21,7,1,
1004958,2010-12-16,2011-06-15,12,4,
1004959,2013-06-11,2014-06-11,15,3,
1004960,2010-12-31,2012-01-01,6,6,
1004961,2011-06-30,2012-06-29,20,7,2012-03-22
1004962,2014-01-04,2015-01-04,6,3,
1004963,2012-11-07,2013-05-09,14,5,
1004964,2012-08-04,2013-02-01,19,2,
1004965,2013-04-16,2013-10-17,12,6,
1004966,2013-04-25,2013-10-26,5,2,
1004967,2010-11-23,2011-05-26,6,5,
1004968,2014-03-13,2015-03-13,15,7,
1004969,2011-07-24,2012-01-22,10,4,
1004970,2013-11-23,2014-05-23,4,3,
1004971,2013-12-15,2014-06-15,20,7,
1004972,2013-03-14,2013-09-12,2,7,
1004973,2013-03-13,2014-03-13,10,4,
1004974,2013-02-20,2013-08-21,10,2,2013-06-04
1004975,2012-06-29,2012-12-27,16,5,
1004976,2011-01-18,2012-01-19,19,4,
1004977,2011-09-14,2012-03-15,11,1,2011-11-29
1004978,2013-02-08,2013-08-09,18,3,
1004979,2013-02-09,2013-08-09,11,2,
1004980,2013-01-29,2014-01-29,7,7,
1004981,2011-09-04,2012-09-04,3,5,
1004982,2011-07-13,2012-07-13,5,6,
1004983,2012-05-18,2013-05-18,7,2,
1004984,2010-12-21,2011-12-22,4,2,
1004985,2012-12-02,2013-12-02,9,5,
1004986,2013-06-11,2014-06-11,12,2,
1004987,2013-04-01,2013-09-29,6,3,
1004988,2012-04-08,2013-04-09,10,2,
1004989,2012-09-09,2013-03-12,3,1,2012-12-29
1004990,2011-09-07,2012-03-08,12,2,
1004991,2013-08-31,2014-03-03,13,1,
1004992,2013-09-29,2014-03-31,20,6,
1004993,2011-03-13,2011-09-13,19,7,
1004994,2013-06-09,2014-06-09,16,2,
1004995,2013-04-03,2014-04-03,4,6,
1004996,2012-11-10,2013-11-10,20,6,
1004997,2012-04-19,2012-10-18,17,3,
1004998,2012-12-26,2013-12-26,8,2,
1004999,2014-02-21,2015-02-21,10,2,
1005000,2013-10-18,2014-04-17,20,4,
1005001,2011-10-30,2012-05-01,1,7,
1005002,2011-07-14,2012-01-13,1,2,
1005003,2013-09-13,2014-03-15,2,5,
1005004,2011-12-14,2012-12-13,9,1,2012-09-30
1005005,2012-05-08,2012-11-07,3,7,2012-08-14
1005006,2013-04-30,2013-10-30,18,1,
1005007,2010-11-23,2011-05-26,10,4,2011-05-18
1005008,2013-04-02,2014-04-02,4,7,
1005009,2012-09-21,2013-03-22,11,4,
1005010,2013-07-04,2014-07-04,19,3,
1005011,2011-12-05,2012-06-06,2,4,
1005012,2013-05-04,2013-11-04,4,2,
1005013,2012-10-11,2013-10-11,3,6,
1005014,2011-09-03,2012-09-03,20,6,
1005015,2011-01-07,2011-07-09,6,2,
1005016,2013-03-12,2014-03-12,8,1,
1005017,2011-05-30,2011-11-30,8,5,
1005018,2012-02-08,2012-08-10,2,3,
1005019,2013-12-16,2014-12-16,16,5,
1005020,2013-02-24,2014-02-24,5,2,
1005021,2011-04-02,2011-10-03,17,3,
1005022,2013-09-02,2014-09-02,13,5,
1005023,2011-10-05,2012-04-06,9,1,
1005024,2011-12-03,2012-06-02,13,4,
1005025,2012-10-10,2013-04-10,9,6,
1005026,2012-03-12,2013-03-13,7,4,
1005027,2011-03-13,2012-03-12,10,3,
1005028,2013-01-31,2013-08-02,11,4,
1005029,2011-09-21,2012-03-21,18,1,
1005030,2011-12-18,2012-06-18,2,6,
1005031,2013-10-10,2014-10-10,16,6,
1005032,2013-04-13,2013-10-13,15,3,
1005033,2011-08-28,2012-02-26,2,6,2012-01-30
1005034,2011-08-11,2012-02-09,13,5,
1005035,2013-03-17,2013-09-14,17,4,
1005036,2012-08-15,2013-08-15,16,4,
1005037,2012-12-13,2013-12-13,14,1,
1005038,2012-10-13,2013-10-13,5,5,
1005039,2011-02-21,2011-08-21,1,2,
1005040,2011-09-13,2012-09-13,5,5,2012-07-27
1005041,2013-07-01,2014-07-01,9,7,
1005042,2011-06-18,2012-06-18,1,2,
1005043,2012-09-14,2013-09-14,5,6,
1005044,2012-09-16,2013-03-19,10,4,
1005045,2013-07-31,2014-01-29,14,5,
1005046,2013-04-06,2013-10-07,15,1,
1005047,2011-08-04,2012-08-04,20,6,
1005048,2012-11-17,2013-11-17,10,7,
1005049,2010-12-29,2011-12-29,13,4,
1005050,2013-10-05,2014-10-05,20,7,
1005051,2013-02-08,2013-08-09,10,7,
1005052,2012-09-23,2013-09-23,8,5,
1005053,2011-04-27,2011-10-28,5,5,
1005054,2013-06-05,2014-06-05,4,1,
1005055,2011-11-15,2012-11-14,18,1,
1005056,2013-07-10,2014-01-10,7,1,
1005057,2011-07-28,2012-01-26,4,3,
1005058,2012-05-15,2013-05-16,8,5,
1005059,2011-08-21,2012-02-21,19,7,2011-11-22
1005060,2011-10-09,2012-10-09,6,5,
1005061,2013-01-19,2014-01-19,10,6,
1005062,2010-08-15,2011-02-12,1,3,
1005063,2012-06-30,2012-12-31,8,3,
1005064,2012-02-29,2012-08-29,20,7,
1005065,2011-06-15,2011-12-14,8,2,
1005066,2013-01-05,2013-07-07,8,3,
1005067,2012-10-01,2013-04-01,16,7,
1005068,2013-10-12,2014-10-12,5,3,
1005069,2012-09-28,2013-09-28,14,4,
1005070,2012-05-10,2013-05-10,13,1,
1005071,2014-02-08,2014-08-09,5,7,2014-05-16
1005072,2013-10-11,2014-10-11,13,2,
1005073,2012-03-23,2013-03-24,7,4,
1005074,2011-02-03,2012-02-04,9,3,
1005075,2013-07-31,2014-07-31,6,6,
1005076,2011-06-16,2012-06-16,5,7,
1005077,2012-11-30,2013-11-30,11,7,
1005078,2012-04-27,2013-04-28,13,3,
1005079,2012-08-18,2013-08-18,20,2,
1005080,2013-06-05,2013-12-03,11,2,
1005081,2011-11-18,2012-11-17,14,7,2012-11-04
1005082,2012-03-29,2013-03-29,17,5,
1005083,2011-06-25,2011-12-24,3,6,
1005084,2012-02-21,2013-02-21,7,3,2012-09-27
1005085,2013-10-15,2014-04-17,17,6,
1005086,2011-02-21,2011-08-24,13,1,
1005087,2013-09-07,2014-09-07,2,5,
1005088,2011-07-12,2012-01-12,13,4,2011-10-06
1005089,2013-05-27,2013-11-24,5,3,2013-10-23
1005090,2011-04-13,2011-10-14,11,1,2011-06-06
1005091,2011-06-29,2011-12-29,18,7,
1005092,2011-01-09,2012-01-10,2,1,
1005093,2011-11-08,2012-05-08,2,5,2012-04-17
1005094,2013-11-24,2014-05-24,13,6,
1005095,2014-02-16,2015-02-16,9,4,
1005096,2012-08-27,2013-02-24,2,3,
1005097,2013-03-12,2014-03-12,15,7,
1005098,2012-11-26,2013-05-28,10,1,
1005099,2013-04-19,2013-10-19,1,6,
1005100,2012-01-26,2012-07-27,16,7,
1005101,2011-04-23,2011-10-23,11,7,
1005102,2013-09-08,2014-09-08,16,4,
1005103,2014-01-18,2015-01-18,5,5,
1005104,2013-06-27,2014-06-27,4,5,2014-02-20
1005105,2011-05-13,2011-11-12,1,4,
1005106,2013-12-18,2014-06-20,9,7,
1005107,2013-05-14,2014-05-14,19,6,
1005108,2014-03-23,2015-03-23,9,5,
1005109,2012-04-29,2013-04-29,12,3,
1005110,2010-09-02,2011-09-02,6,3,
1005111,2011-03-25,2012-03-25,10,4,
1005112,2011-11-13,2012-05-14,7,2,
1005113,2011-01-12,2011-07-12,9,5,2011-04-18
1005114,2013-02-04,2014-02-04,19,3,
1005115,2010-12-04,2011-12-04,5,1,
1005116,2013-06-19,2014-06-19,6,4,
1005117,2011-09-24,2012-09-24,18,2,
1005118,2012-01-06,2013-01-05,4,1,2012-09-23
1005119,2011-10-09,2012-10-09,3,2,
1005120,2013-02-11,2014-02-11,8,4,
1005121,2012-11-18,2013-11-18,18,7,
1005122,2010-10-19,2011-04-18,4,2,
1005123,2011-04-25,2012-04-25,9,7,
1005124,2012-04-19,2013-04-19,14,1,
1005125,2011-07-21,2012-07-21,18,2,
1005126,2012-10-05,2013-04-07,14,3,
1005127,2012-11-09,2013-05-11,6,7,2013-03-17
1005128,2013-04-14,2014-04-14,10,7,
1005129,2011-10-16,2012-04-17,8,3,
1005130,2013-06-15,2013-12-13,11,1,
1005131,2013-07-21,2014-01-18,20,3,
1005132,2011-07-16,2012-01-16,8,6,
1005133,2011-09-30,2012-09-30,17,5,
1005134,2011-09-07,2012-03-08,2,4,
1005135,2011-12-16,2012-12-16,7,2,
1005136,2011-08-22,2012-08-22,18,4,
1005137,2011-10-21,2012-10-21,4,1,
1005138,2010-10-22,2011-10-22,3,5,
1005139,2012-01-08,2012-07-10,1,6,
1005140,2013-04-23,2013-10-24,11,1,
1005141,2010-09-27,2011-09-28,15,6,
1005142,2011-05-25,2011-11-23,15,7,
1005143,2011-08-21,2012-02-20,2,1,
1005144,2014-01-21,2014-07-22,3,7,
1005145,2011-01-26,2012-01-26,8,6,
1005146,2012-11-15,2013-05-15,16,1,
1005147,2013-02-06,2013-08-06,8,7,
1005148,2014-01-03,2014-07-06,9,4,
1005149,2013-04-19,2014-04-19,12,4,
1005150,2012-05-20,2012-11-18,2,3,
1005151,2011-02-09,2011-08-12,10,3,
1005152,2012-11-25,2013-05-27,15,1,
1005153,2012-08-02,2013-08-02,8,6,
1005154,2013-06-07,2013-12-07,10,5,
1005155,2013-10-16,2014-04-17,1,5,
1005156,2013-07-29,2014-01-29,19,2,
1005157,2012-09-13,2013-09-13,6,3,
1005158,2012-02-21,2012-08-22,3,6,
1005159,2012-02-29,2012-08-30,12,2,
1005160,2012-04-06,2012-10-05,9,7,
1005161,2013-01-04,2013-07-04,12,3,
1005162,2013-02-24,2014-02-24,4,3,
1005163,2012-10-28,2013-04-30,10,2,
1005164,2012-01-25,2012-07-25,17,2,
1005165,2012-08-02,2013-02-02,16,1,
1005166,2012-09-05,2013-03-05,9,2,
1005167,2011-11-23,2012-05-25,2,7,
1005168,2011-11-01,2012-11-01,16,6,
1005169,2014-02-01,2014-08-02,3,4,
1005170,2013-09-30,2014-04-01,8,7,
1005171,2012-04-08,2013-04-09,4,3,
1005172,2013-02-22,2014-02-22,1,6,
1005173,2014-03-24,2015-03-24,2,6,
1005174,2012-06-04,2012-12-05,17,6,
1005175,2011-11-26,2012-11-25,2,7,
1005176,2013-12-09,2014-12-09,19,4,
1005177,2012-06-09,2012-12-10,17,1,
1005178,2013-03-30,2013-09-30,5,5,
1005179,2012-09-02,2013-09-02,15,5,
1005180,2013-12-12,2014-12-12,10,2,
1005181,2011-06-29,2011-12-30,12,4,
1005182,2011-09-10,2012-09-10,7,6,
1005183,2012-10-06,2013-04-07,2,4,
1005184,2013-03-18,2013-09-15,20,1,
1005185,2012-01-26,2012-07-28,5,6,2012-07-14
1005186,2012-03-25,2012-09-23,5,4,
1005187,2011-01-08,2012-01-09,5,2,
1005188,2012-12-08,2013-06-10,18,7,
1005189,2011-04-07,2012-04-07,18,1,
1005190,2012-09-13,2013-09-13,5,3,2013-05-20
1005191,2013-07-25,2014-07-25,16,2,2014-01-29
1005192,2012-02-06,2013-02-06,20,7,
1005193,2013-02-17,2013-08-20,12,5,
1005194,2014-01-09,2015-01-09,9,3,
1005195,2011-12-21,2012-12-21,18,2,
1005196,2012-11-25,2013-05-28,4,4,
1005197,2012-11-17,2013-05-17,10,2,
1005198,2011-10-02,2012-10-02,3,7,
1005199,2013-05-21,2014-05-21,19,5,
1005200,2013-05-08,2013-11-07,5,5,
1005201,2012-11-26,2013-05-29,17,2,
1005202,2011-11-15,2012-05-17,5,6,
1005203,2012-01-11,2013-01-10,3,5,
1005204,2012-02-04,2013-02-04,3,7,
1005205,2011-02-01,2012-02-02,3,2,
1005206,2012-04-10,2012-10-11,14,6,
1005207,2011-09-30,2012-03-30,11,5,2011-11-16
1005208,2013-01-05,2013-07-07,18,6,
1005209,2013-08-15,2014-02-13,12,2,
1005210,2013-07-27,2014-07-27,10,1,
1005211,2013-05-07,2013-11-04,10,4,
1005212,2012-09-22,2013-09-22,1,7,
1005213,2012-11-14,2013-05-14,7,7,
1005214,2013-06-05,2014-06-05,19,6,
1005215,2013-12-05,2014-06-04,20,6,
1005216,2011-12-14,2012-12-14,10,5,
1005217,2012-09-08,2013-09-08,15,1,2013-03-23
1005218,2011-06-25,2012-06-25,7,6,
1005219,2013-07-24,2014-01-23,10,3,
1005220,2011-11-26,2012-11-25,20,6,
1005221,2010-12-29,2011-07-01,7,5,
1005222,2013-09-25,2014-03-28,19,7,
1005223,2013-01-26,2013-07-29,16,1,
1005224,2011-06-15,2012-06-15,14,4,
1005225,2013-06-15,2014-06-15,7,4,
1005226,2012-08-12,2013-08-12,19,5,
1005227,2013-12-16,2014-06-16,13,2,
1005228,2013-06-19,2013-12-20,10,3,
1005229,2011-04-13,2012-04-13,2,5,
1005230,2011-02-20,2012-02-21,6,3,
1005231,2013-03-30,2013-09-30,20,5,
1005232,2011-03-14,2012-03-13,4,7,
1005233,2012-10-03,2013-04-05,1,7,
1005234,2011-06-30,2012-06-30,12,4,
1005235,2011-12-02,2012-12-02,16,5,
1005236,2011-05-31,2012-05-31,7,5,
1005237,2013-12-15,2014-06-17,11,1,
1005238,2013-04-05,2014-04-05,17,6,2013-11-17
1005239,2013-12-02,2014-12-02,15,3,
1005240,2013-04-19,2014-04-19,11,7,
1005241,2011-05-21,2012-05-21,1,6,2011-11-21
1005242,2011-07-18,2012-01-17,2,4,
1005243,2013-01-18,2013-07-21,10,7,
1005244,2012-03-12,2013-03-13,4,2,
1005245,2013-05-09,2013-11-08,8,2,
1005246,2012-10-09,2013-04-11,17,7,
1005247,2012-04-20,2012-10-21,2,1,
1005248,2013-01-06,2013-07-09,7,3,
1005249,2012-01-16,2012-07-16,20,1,
1005250,2012-01-11,2013-01-10,6,4,
1005251,2013-08-05,2014-08-05,15,6,2014-05-16
1005252,2012-09-28,2013-03-29,11,6,2013-03-09
1005253,2013-09-18,2014-09-18,17,2,
1005254,2011-08-29,2012-02-27,3,6,
1005255,2012-09-24,2013-03-24,19,4,
1005256,2011-06-03,2012-06-03,15,7,
1005257,2013-11-22,2014-11-22,6,2,
1005258,2012-02-22,2013-02-21,15,1,
1005259,2010-10-27,2011-10-28,1,2,
1005260,2013-03-19,2014-03-19,17,2,
1005261,2013-03-07,2013-09-04,18,1,
1005262,2013-04-05,2013-10-03,12,6,
1005263,2012-12-30,2013-12-30,17,3,2013-08-06
1005264,2010-11-02,2011-11-03,9,6,
1005265,2013-01-01,2014-01-01,20,7,2013-09-20
1005266,2012-11-15,2013-05-18,8,5,
1005267,2013-08-30,2014-08-30,9,1,
1005268,2013-10-06,2014-04-06,20,1,
1005269,2013-01-15,2014-01-15,15,3,2013-11-12
1005270,2013-11-17,2014-11-17,11,5,
1005271,2012-09-06,2013-09-06,19,6,
1005272,2013-04-30,2014-04-30,7,3,
1005273,2012-05-15,2013-05-15,5,4,
1005274,2012-05-15,2013-05-16,12,2,
1005275,2014-05-16,2015-05-16,4,6,
1005276,2012-03-23,2013-03-24,2,5,
1005277,2013-10-10,2014-04-12,5,2,
1005278,2012-07-22,2013-07-22,4,3,
1005279,2012-05-21,2012-11-21,20,2,
1005280,2011-08-09,2012-08-09,8,2,
1005281,2010-11-04,2011-11-05,10,1,
1005282,2011-03-05,2011-09-05,9,7,2011-07-26
1005283,2011-10-10,2012-04-10,1,2,
1005284,2013-01-31,2013-07-31,3,4,
1005285,2012-01-05,2013-01-04,16,3,2012-07-18
1005286,2014-02-14,2015-02-14,7,7,
1005287,2013-09-01,2014-09-01,7,1,
1005288,2013-01-21,2014-01-21,19,5,
1005289,2013-09-18,2014-09-18,10,5,
1005290,2013-05-22,2013-11-22,5,2,
1005291,2010-12-26,2011-12-27,10,7,
1005292,2012-01-23,2012-07-24,8,6,
1005293,2013-04-12,2013-10-10,15,6,
1005294,2012-04-04,2012-10-02,17,4,
1005295,2013-04-25,2014-04-25,12,7,
1005296,2012-12-15,2013-12-15,10,4,
1005297,2013-01-11,2014-01-11,3,5,
1005298,2013-06-29,2013-12-30,6,7,
1005299,2013-11-29,2014-11-29,9,2,
1005300,2011-10-31,2012-05-01,8,3,
1005301,2013-06-06,2013-12-04,11,5,
1005302,2012-11-09,2013-05-12,11,3,
1005303,2011-12-30,2012-12-29,7,2,2012-11-19
1005304,2011-05-12,2012-05-12,5,5,
1005305,2013-06-18,2014-06-18,2,7,
1005306,2012-07-06,2013-01-06,19,7,
1005307,2014-05-29,2014-11-27,11,6,
1005308,2010-09-08,2011-09-09,16,2,
1005309,2012-12-10,2013-12-10,13,5,
1005310,2012-08-08,2013-02-06,19,3,2013-02-05
1005311,2012-02-02,2012-08-04,19,7,
1005312,2011-06-23,2012-06-23,19,7,
1005313,2010-09-06,2011-09-06,17,1,
1005314,2011-01-12,2011-07-12,19,1,
1005315,2011-06-14,2011-12-12,19,3,
1005316,2013-05-29,2014-05-29,19,6,
1005317,2014-04-06,2015-04-06,13,1,
1005318,2012-10-05,2013-04-05,4,6,
1005319,2013-02-25,2014-02-25,2,7,
1005320,2013-05-23,2014-05-23,9,6,
1005321,2012-02-09,2012-08-11,8,3,
1005322,2013-04-14,2013-10-15,15,4,
1005323,2013-04-10,2014-04-10,3,4,
1005324,2011-06-24,2012-06-24,17,6,
1005325,2013-07-14,2014-07-14,6,4,
1005326,2013-08-25,2014-08-25,17,5,
1005327,2013-01-05,2013-07-05,3,7,
1005328,2013-01-18,2014-01-18,8,7,
1005329,2012-05-18,2012-11-18,6,5,2012-10-20
1005330,2011-01-09,2011-07-12,17,6,
1005331,2013-09-01,2014-09-01,13,6,
1005332,2011-10-24,2012-04-23,9,6,
1005333,2011-06-28,2012-06-28,4,5,
1005334,2013-06-06,2014-06-06,12,4,
1005335,2012-03-23,2012-09-23,3,4,
1005336,2013-12-13,2014-12-13,1,4,
1005337,2014-02-24,2014-08-24,8,2,
1005338,2011-09-07,2012-03-08,5,4,
1005339,2013-05-24,2014-05-24,16,4,
1005340,2013-09-29,2014-04-01,2,2,
1005341,2014-01-24,2014-07-24,17,3,
1005342,2011-05-12,2012-05-12,16,1,
1005343,2011-03-06,2011-09-06,9,3,
1005344,2010-09-26,2011-09-26,7,5,
1005345,2010-10-28,2011-10-29,8,5,2011-09-27
1005346,2011-11-29,2012-05-30,8,3,
1005347,2012-05-28,2012-11-26,10,1,
1005348,2013-05-29,2014-05-29,11,6,
1005349,2014-01-26,2014-07-26,2,4,2014-05-21
1005350,2013-12-19,2014-06-18,3,7,
1005351,2013-09-20,2014-09-20,3,4,
1005352,2014-04-23,2015-04-23,11,7,
1005353,2012-02-06,2012-08-06,14,4,
1005354,2013-09-24,2014-03-27,17,6,
1005355,2011-05-14,2011-11-12,16,6,2011-09-19
1005356,2010-11-26,2011-05-28,15,5,
1005357,2011-03-16,2011-09-16,20,2,
1005358,2012-01-30,2013-01-29,19,5,
1005359,2013-02-18,2014-02-18,17,5,
1005360,2012-01-09,2012-07-10,1,2,
1005361,2014-02-05,2015-02-05,7,3,
1005362,2011-08-04,2012-02-02,16,1,
1005363,2012-01-24,2012-07-24,7,5,
1005364,2012-03-29,2012-09-26,1,3,
1005365,2011-08-21,2012-08-21,16,1,2012-01-19
1005366,2012-08-12,2013-02-10,10,6,
1005367,2011-11-08,2012-11-07,1,1,
1005368,2011-07-01,2012-01-01,20,6,
1005369,2013-07-06,2014-01-06,15,1,
1005370,2013-06-11,2013-12-10,13,3,
1005371,2012-01-03,2013-01-02,9,3,
1005372,2013-02-11,2013-08-14,11,4,
1005373,2012-07-31,2013-07-31,19,1,
1005374,2011-09-09,2012-09-09,14,1,
1005375,2012-05-14,2012-11-13,5,2,
1005376,2011-08-09,2012-08-09,20,4,
1005377,2013-09-10,2014-03-11,7,1,
1005378,2014-03-26,2014-09-23,15,4,
1005379,2013-09-05,2014-09-05,20,2,
1005380,2013-02-19,2013-08-19,5,7,
1005381,2011-04-12,2012-04-11,13,2,2011-08-16
1005382,2011-11-25,2012-05-27,15,3,
1005383,2011-05-06,2011-11-03,2,1,
1005384,2012-12-06,2013-12-06,7,7,
1005385,2013-06-02,2014-06-02,16,5,
1005386,2011-07-09,2012-07-09,18,3,
1005387,2011-07-13,2012-01-11,7,3,
1005388,2013-07-26,2014-01-23,8,1,
1005389,2011-04-17,2011-10-17,5,2,2011-09-26
1005390,2011-04-29,2011-10-29,12,6,
1005391,2012-12-10,2013-06-12,8,7,
1005392,2013-11-14,2014-11-14,6,4,
1005393,2013-12-01,2014-05-31,8,2,
1005394,2013-03-16,2013-09-13,16,4,
1005395,2013-11-20,2014-05-23,19,6,
1005396,2011-09-19,2012-09-19,7,7,
1005397,2012-12-17,2013-06-16,15,5,
1005398,2012-06-25,2012-12-26,3,5,
1005399,2013-10-22,2014-10-22,15,7,2014-05-18
1005400,2012-12-27,2013-12-27,20,5,
1005401,2011-07-18,2012-07-18,20,6,2012-05-17
